Counts for pub 0: {'00': 1008, '10': 8, '01': 8}
Counts for pub 1: {'00': 225, '01': 192, '11': 167, '10': 440}
Counts for pub 2: {'00': 786, '10': 86, '01': 39, '11': 113}
Counts for pub 3: {'11': 220, '00': 754, '10': 31, '01': 19}
Counts for pub 4: {'01': 354, '11': 382, '10': 134, '00': 154}
Counts for pub 5: {'11': 625, '00': 362, '01': 16, '10': 21}
Counts for pub 6: {'11': 629, '00': 353, '01': 16, '10': 26}
Counts for pub 7: {'10': 236, '01': 269, '00': 276, '11': 243}
Counts for pub 8: {'00': 368, '11': 622, '01': 18, '10': 16}
Counts for pub 9: {'11': 495, '01': 457, '00': 35, '10': 37}
Counts for pub 10: {'00': 919, '10': 22, '01': 72, '11': 11}
Counts for pub 11: {'00': 909, '01': 97, '11': 4, '10': 14}
Counts for pub 12: {'00': 78, '11': 601, '01': 52, '10': 293}
Counts for pub 13: {'11': 735, '01': 205, '10': 40, '00': 44}
Counts for pub 14: {'01': 123, '10': 314, '11': 496, '00': 91}
Counts for pub 15: {'00': 756, '10': 26, '11': 213, '01': 29}
Counts for pub 16: {'00': 909, '01': 87, '11': 8, '10': 20}
Counts for pub 17: {'01': 491, '00': 259, '10': 152, '11': 122}
Counts for pub 18: {'11': 501, '01': 287, '10': 123, '00': 113}
Counts for pub 19: {'10': 117, '00': 677, '01': 193, '11': 37}
Counts for pub 20: {'00': 599, '10': 176, '01': 173, '11': 76}
Counts for pub 21: {'11': 67, '00': 801, '10': 74, '01': 82}
Counts for pub 22: {'00': 351, '10': 126, '11': 422, '01': 125}
Counts for pub 23: {'10': 82, '00': 824, '11': 97, '01': 21}
Counts for pub 24: {'11': 293, '00': 233, '01': 266, '10': 232}
Counts for pub 25: {'01': 350, '11': 539, '00': 76, '10': 59}
Counts for pub 26: {'00': 1014, '01': 3, '10': 7}
Counts for pub 27: {'01': 309, '11': 584, '00': 68, '10': 63}
Counts for pub 28: {'00': 863, '11': 111, '01': 39, '10': 11}
Counts for pub 29: {'11': 616, '00': 371, '10': 17, '01': 20}
Counts for pub 30: {'10': 228, '11': 407, '00': 235, '01': 154}
Counts for pub 31: {'00': 915, '10': 81, '01': 22, '11': 6}
Counts for pub 32: {'10': 236, '11': 234, '00': 275, '01': 279}
Counts for pub 33: {'00': 29, '11': 838, '10': 135, '01': 22}
Counts for pub 34: {'00': 763, '01': 23, '11': 212, '10': 26}
Counts for pub 35: {'01': 281, '00': 232, '10': 188, '11': 323}
Counts for pub 36: {'11': 165, '00': 473, '01': 289, '10': 97}
Counts for pub 37: {'00': 694, '11': 100, '10': 134, '01': 96}
Counts for pub 38: {'00': 1015, '10': 7, '01': 2}
Counts for pub 39: {'01': 406, '10': 59, '11': 500, '00': 59}
Counts for pub 40: {'00': 928, '10': 75, '01': 19, '11': 2}
Counts for pub 41: {'00': 1008, '10': 10, '01': 6}
Counts for pub 42: {'00': 365, '11': 621, '10': 19, '01': 19}
Counts for pub 43: {'10': 611, '00': 158, '11': 176, '01': 79}
Counts for pub 44: {'10': 405, '11': 486, '01': 47, '00': 86}
Counts for pub 45: {'00': 1014, '10': 8, '01': 2}
Counts for pub 46: {'00': 701, '01': 112, '10': 79, '11': 132}
Counts for pub 47: {'11': 513, '01': 106, '00': 270, '10': 135}
Counts for pub 48: {'11': 254, '01': 221, '00': 284, '10': 265}
Counts for pub 49: {'11': 835, '10': 132, '00': 36, '01': 21}
Counts for pub 50: {'00': 207, '11': 219, '10': 302, '01': 296}
Counts for pub 51: {'11': 219, '00': 762, '10': 19, '01': 24}
Counts for pub 52: {'11': 902, '10': 56, '00': 46, '01': 20}
Counts for pub 53: {'01': 407, '11': 116, '00': 358, '10': 143}
Counts for pub 54: {'01': 103, '10': 446, '11': 359, '00': 116}
Counts for pub 55: {'11': 397, '01': 506, '00': 55, '10': 66}
Counts for pub 56: {'00': 790, '11': 87, '01': 74, '10': 73}
Counts for pub 57: {'11': 441, '10': 77, '00': 417, '01': 89}
Counts for pub 58: {'00': 714, '01': 162, '11': 114, '10': 34}
Counts for pub 59: {'10': 247, '11': 229, '00': 297, '01': 251}
Counts for pub 60: {'10': 895, '11': 87, '00': 30, '01': 12}
Counts for pub 61: {'11': 645, '00': 344, '01': 17, '10': 18}
Counts for pub 62: {'00': 216, '11': 637, '01': 105, '10': 66}
Counts for pub 63: {'11': 613, '10': 297, '01': 39, '00': 75}
Counts for pub 64: {'10': 263, '01': 260, '00': 272, '11': 229}
Counts for pub 65: {'00': 908, '01': 22, '10': 85, '11': 9}
Counts for pub 66: {'01': 226, '11': 234, '00': 297, '10': 267}
Counts for pub 67: {'11': 179, '01': 334, '10': 349, '00': 162}
Counts for pub 68: {'11': 907, '00': 54, '01': 13, '10': 50}
Counts for pub 69: {'11': 889, '10': 61, '00': 49, '01': 25}
Counts for pub 70: {'11': 380, '01': 375, '00': 134, '10': 135}
Counts for pub 71: {'00': 560, '01': 422, '11': 21, '10': 21}
Counts for pub 72: {'11': 544, '01': 349, '10': 64, '00': 67}
Counts for pub 73: {'01': 179, '11': 733, '10': 43, '00': 69}
Counts for pub 74: {'11': 512, '01': 471, '10': 20, '00': 21}
Counts for pub 75: {'11': 783, '00': 21, '01': 118, '10': 102}
Counts for pub 76: {'00': 776, '10': 79, '11': 118, '01': 51}
Counts for pub 77: {'10': 582, '00': 137, '11': 94, '01': 211}
Counts for pub 78: {'00': 568, '10': 45, '11': 328, '01': 83}
Counts for pub 79: {'00': 748, '11': 227, '10': 17, '01': 32}
Counts for pub 80: {'10': 475, '01': 178, '00': 221, '11': 150}
Counts for pub 81: {'00': 1008, '10': 12, '01': 4}
Counts for pub 82: {'10': 325, '00': 353, '01': 180, '11': 166}
Counts for pub 83: {'11': 86, '10': 709, '00': 203, '01': 26}
Counts for pub 84: {'10': 348, '00': 151, '01': 184, '11': 341}
Counts for pub 85: {'11': 164, '10': 538, '00': 180, '01': 142}
Counts for pub 86: {'10': 549, '01': 155, '00': 159, '11': 161}
Counts for pub 87: {'11': 814, '10': 155, '01': 44, '00': 11}
Counts for pub 88: {'10': 567, '11': 177, '00': 145, '01': 135}
Counts for pub 89: {'01': 788, '10': 105, '00': 86, '11': 45}
Counts for pub 90: {'00': 163, '10': 656, '01': 143, '11': 62}
Counts for pub 91: {'10': 621, '01': 145, '11': 77, '00': 181}
Counts for pub 92: {'10': 372, '01': 331, '11': 159, '00': 162}
Counts for pub 93: {'10': 340, '01': 548, '11': 53, '00': 83}
Counts for pub 94: {'11': 389, '10': 171, '00': 260, '01': 204}
